tool,merged_volume,github_repo,stars,url,gate
chrome dev,740,ChromeDevTools/chrome-devtools-mcp,47598,https://github.com/ChromeDevTools/chrome-devtools-mcp,PASS
toolkit,730,oraios/serena,26897,https://github.com/oraios/serena,PASS
fastapi,730,tadata-org/fastapi_mcp,11951,https://github.com/tadata-org/fastapi_mcp,PASS
outlook,730,ridafkih/keeper.sh,1211,https://github.com/ridafkih/keeper.sh,PASS
framer,720,JiaboLi-GitHub/renderdoc-mcp,277,https://github.com/JiaboLi-GitHub/renderdoc-mcp,PASS
xcodebuildmcp,720,getsentry/XcodeBuildMCP,6144,https://github.com/getsentry/XcodeBuildMCP,PASS
hand,720,vercel/mcp-handler,628,https://github.com/vercel/mcp-handler,PASS
smcp,720,ksysoev/smcp-proxy,2,https://github.com/ksysoev/smcp-proxy,REVIEW
pip dip,720,kthlong/ProprioceptiveAcuity_Data,0,https://github.com/kthlong/ProprioceptiveAcuity_Data,REVIEW
sse,720,u14app/deep-research,4681,https://github.com/u14app/deep-research,PASS
granola,710,proofsh/granola-mcp-server,93,https://github.com/proofsh/granola-mcp-server,PASS
ida pro,710,mrexodia/ida-pro-mcp,10766,https://github.com/mrexodia/ida-pro-mcp,PASS
definition,700,isaacphi/mcp-language-server,1570,https://github.com/isaacphi/mcp-language-server,PASS
windows,680,mksglu/context-mode,19325,https://github.com/mksglu/context-mode,PASS
draw.io,650,lgazo/drawio-mcp-server,1357,https://github.com/lgazo/drawio-mcp-server,PASS
streamable http,640,sparfenyuk/mcp-proxy,2685,https://github.com/sparfenyuk/mcp-proxy,PASS
nextjs,630,agentailor/fullstack-langgraph-nextjs-agent,121,https://github.com/agentailor/fullstack-langgraph-nextjs-agent,PASS
fastmcp,630,PrefectHQ/fastmcp,26842,https://github.com/PrefectHQ/fastmcp,PASS
rube,620,rohittcodes/gpt-5-vs-opus-4-1,16,https://github.com/rohittcodes/gpt-5-vs-opus-4-1,REVIEW
xcode,620,getsentry/XcodeBuildMCP,6144,https://github.com/getsentry/XcodeBuildMCP,PASS
excel,600,haris-musa/excel-mcp-server,4057,https://github.com/haris-musa/excel-mcp-server,PASS
pip,600,SamurAIGPT/muapi-cli,1030,https://github.com/SamurAIGPT/muapi-cli,PASS
official,600,github/github-mcp-server,31716,https://github.com/github/github-mcp-server,PASS
xiaohongshu-mcp,590,xpzouying/xiaohongshu-mcp,14851,https://github.com/xpzouying/xiaohongshu-mcp,PASS
ableton live,590,Simon-Kansara/ableton-live-mcp-server,390,https://github.com/Simon-Kansara/ableton-live-mcp-server,PASS
vue,590,flipped-aurora/gin-vue-admin,24875,https://github.com/flipped-aurora/gin-vue-admin,PASS
memcp,590,maydali28/memcp,17,https://github.com/maydali28/memcp,REVIEW
